Experimental molecular inhibitory activities against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
117,Clc1cc(cc(Cl)c1)Cn1cncc1C[C@H](N[C@@H](CC(C)C)C(O)=O)C(O)=O,448281,1
118,SCC(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455047,1
119,S[C@@H](CCc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455406,1
120,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCCCC1,44454957,1
121,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCC1,44454959,1
122,S[C@@H](CCCC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455013,1
123,SC(C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)(C)C,44455015,1
124,S[C@@H]([C@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44454987,1
125,S[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,25033280,1
126,S[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455407,1
127,S[C@@H](CC(C)(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,25033281,1
128,S[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455428,1
129,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)c1ccccc1,44455429,1
130,S[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455430,1
131,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C1CCCC1,44454960,1
132,S[C@@H](CC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44455016,1
133,S[C@H](C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O)C,44455018,1
134,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1,24827781,1
135,P(O)(=O)(C[C@H](C(O)=O)C)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828310,1
136,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)C(C)C,24827661,1
137,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1ccc(O)cc1,24827547,1
138,P(O)(=O)([C@H](NC(OCc1ccccc1)=O)CC(C)C)C[C@@H](Cc1ccccc1)C(O)=O,24828445,1
139,P(O)(=O)(C[C@@H](CC(C)C)C(O)=O)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828309,1
140,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1)CC(C)C)C[C@@H](Cc1ccccc1)C(O)=O,24827913,1
141,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CCCCN,24827437,1
142,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CC(C)C,24827312,1
143,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1)CC(C)C)CC(Cc1onc(c1)-c1ccccc1)C(O)=O,44450296,1
144,P(O)(=O)(CC(Cc1onc(c1)-c1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1[nH]cnc1,44450311,1
145,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)C,24827309,1
146,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(OCc1ccccc1)=O,24828308,1
147,P(O)(=O)(CC(Cc1onc(c1)-c1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CC(C)C,44450312,1
148,P(O)(=O)([C@H](NC(=O)[C@@H](NC(=O)C)CC(C)C)Cc1ccccc1)C[C@@H](Cc1ccccc1)C(O)=O,24827784,1
149,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1ccccc1,24827658,1
150,P(O)(=O)(C[C@@H](Cc1ccccc1)C(O)=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)CCC(O)=O,24827440,1
151,SC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CN)CC(O)=O)Cc1ccc(O)cc1)CO)Cc1[nH]cnc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)N1CCC[C@H]1C(O)=O)CS)CO,52946818,1
152,SC[C@@H](Cc1ccccc1)C(=O)NCC(O)=O,4369380,1
153,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C,9840601,1
154,O=C1N[C@@H](CC1)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@H](CC)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(O)=O,443376,1
155,O=C1N[C@@H](CC1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,5748613,1
156,OC(=O)[C@H]1N(CCC1)C(=O)CNC(=O)[C@@H](N)Cc1ccccc1,11989733,1
157,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,44266856,1
158,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1,44266590,1
159,FC(F)(F)C(O)=O.O=C(NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO)C1CCC1,44266842,1
160,O=C(NO)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44266803,1
161,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,12854254,1
162,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)C(CC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1)C,44266572,1
163,OC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)Cc1c2c([nH]c1)cccc2,168182,1
164,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)CC)[C@@H](CN1Cc1ccccc1)C(O)=O,13456394,1
165,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(OCC)=O)C)[C@@H](CN1C)C(O)=O,5464343,1
166,O=C1N(C(=O)[C@@H](N)C)[C@@H](CN1C)C(O)=O,44331737,1
167,O=C1N(C(=O)[C@@H](N)C)[C@@H](CN1Cc1ccccc1)C(O)=O,44331738,1
168,O=C1NC[C@H](N1C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44331702,1
169,O=C1N(C(=O)[C@@H](N[C@@H](CC(C)C)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456380,1
170,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1C)C(O)=O,5464344,1
171,O=C1N(C(=O)[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456346,1
172,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456375,1
