Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
103,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2c(N(CC(O)=O)C1=O)cccc2,15380820,0.0044
104,Oc1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44386287,0.0047
105,OC(=O)[C@H]1N(c2c(C1)cccc2)C(=O)[C@@H](CC(CCc1ccccc1)C(O)=O)C,44317123,0.004786
106,SC[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,10047309,0.0048
107,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H](C[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,71454428,0.0048
108,O=C1N(CCCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,23322524,0.0048
109,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCC)C(O)=O)cccc2)CC(O)=O,13500795,0.005
110,S[C@@H](Cc1ccccc1)C(=O)NC1CCC[C@@H]2N([C@@H](CCC2)C(O)=O)C1=O,44342310,0.005
111,S1C2N([C@@H](CCC2)C(O)=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CCC1,44404953,0.005
112,P(O)(O)(=O)NC(C(=O)C1CCCC1C(O)=O)C,44337491,0.005012
113,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(CCC(=O)Nc1ccccc1)C(O)=O)C,20834249,0.005248
114,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)NC(Cc1ccccc1)C(O)=O)C,44358282,0.0054
115,S[C@@H](CCCC)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295958,0.0054
116,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1cccnc1,44384993,0.0057
117,OC(=O)C1N(CCc2c1cccc2)C(=O)C(NC(CCc1ccccc1)C(O)=O)C,44301544,0.0058
118,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN(N(CC(O)=O)C1=O)CCC,44305131,0.006
119,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)NCC(O)=O)C,44358438,0.006
120,O=C1N(c2c(CC[C@@H]1N[C@@H](CCC)C(O)=O)cccc2)CC(O)=O,13500805,0.006
121,S[C@@H](CC(C)C)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,44295939,0.0063
122,OC(=O)[C@H]1N(Cc2c(C1)cccc2)C(=O)N(CC)C[C@H](CCc1ccccc1)C(O)=O,44317367,0.006457
123,S(CC[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O)C,13500800,0.0065
124,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1CCCC)C(O)=O,13456423,0.0067
125,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1,44266590,0.007
126,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N2N([C@@H](CCC2)C(O)=O)C1=O,44305193,0.007
127,S(CCc1ccccc1)C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O,13500770,0.007
128,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCN)C(O)=O)cccc2)CC(O)=O,71320,0.007
