Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
156,Clc1cc(S(=O)(=O)Nc2n(nc(c2)-c2ccccc2)C)ccc1C,2815268,1
157,S1c2c(N(c3c1cccc3)C(=O)COC(=O)c1cccnc1)cccc2,2352096,1
158,O(C)c1ccc(N2CCN(CC2)C(=O)C2=CC(=O)Nc3c2cccc3)cc1,2102546,1
159,o1cccc1C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(OC)=O,1295575,1
160,ClCC(=O)N1N=C(CC1c1cc(OC)c(OC)cc1)c1sccc1,3811656,1
161,S(=O)(=O)(Nc1nn(c2nc3c(cc(cc3)C)cc12)CC)c1ccccc1,4907806,1
162,s1c2c(CC(OC2)(C)C)c2c1N=C(N(N)C2=O)c1oc2c(c1)cccc2,1299520,1
163,Clc1ccccc1C(NC(=O)CC(C)C)c1c2c(ccc1O)cccc2,2928698,1
164,Cl.O1CCN(CC1)CCN1c2c(cc(cc2)CC)C(NC(=O)C)C1=O,24747373,1
165,O=C(c1ccc(cc1)C)c1n([n+]([O-])c2c1ccc([N+](=O)[O-])c2)CCC(=O)N,24820087,1
166,s1cc(nc1NC(=O)c1cccc([N+](=O)[O-])c1C(O)=O)-c1ccccc1,2849510,1
167,O(C)c1c(OC)cc(cc1OC)\C=N/NC(=O)Cn1nnc2c1cccc2,5509654,1
168,Brc1cc(cnc1)C(=O)N\N=C/c1c2c(ccc1O)cccc2,135472652,1
169,ClC(Cl)=C(S(=O)(=O)c1ccccc1)NC(=O)c1ccc(cc1)C,4330749,1
170,S(C)c1ccccc1OCc1onc(c1)C(=O)N(Cc1nccnc1)C,24790237,1
171,ClCC(=O)N(c1ccc([N+](=O)[O-])cc1)c1c2c(n(c1)C(=O)C)cccc2,3473830,1
172,S1\C(=C/c2ccc(O)cc2)\C(=O)N(NC(=O)c2ccccc2O)C1=S,1831132,1
173,Brc1cc2c(N=C(N(CC(=O)NN)C2c2ccccc2)C)cc1,2870196,1
174,Clc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(N(C(=O)C)C)cc1,1214257,1
175,Cl.Clc1cc2c(N(CCN3CCOCC3)C(=O)C2NC(=O)C)cc1,24761147,1
176,FC(F)(F)c1[nH]nc(c1-c1oc2c(c1)cccc2)-c1ccc(OC)cc1O,2323124,1
177,s1cc(c2c1N=C(SCC(=O)Nc1cc(ccc1OC)C)NC2=O)C,2993330,1
178,S(=O)(=O)(CCC(=O)N1CCN(CC1)c1ccc(F)cc1)c1ccccc1,6460643,1
179,Cl.OC(CN1CCCCCC1)Cn1c2CCCCc2c2cc(ccc12)C,2952090,1
180,o1c(ccc1\C=N\N1C(=O)C2C(C3CC2C=C3)C1=O)-c1ccccc1[N+](=O)[O-],5349620,1
181,O=C(NC1CCCc2n(ncc12)-c1ccc(cc1)C(C)(C)C)c1n[nH]c(c1)C,24791295,1
182,O=C(N\N=C\c1c2c(n(c1-c1ccccc1)-c1ccccc1)cccc2)CC#N,6903089,1
183,O(CC(OC)=O)c1c2c(ccc1)C(=O)N(C=C2)CC(=O)NCc1ccccc1,2149567,1
184,O=C1N(C(=O)C2C1C(C=CC2c1ccccc1)c1ccccc1)c1cccnc1,3929515,1
185,Clc1nc2SC=Cn2c1C(=O)N1CCN(CC1)c1cc(Cl)ccc1,2348921,1
186,S(=O)(=O)(N1CCN(CC1)c1ccccc1)c1ccc(cc1)-c1nc(oc1)C,22583081,1
187,S(CC(=O)Nc1ccc(cc1)C(C)(C)C)C1=NNC(=O)N1c1cccnc1,2814640,1
188,ClCC(=O)N1N=C(C(O)C1c1ccc(OC)cc1)c1c2c([nH]c1)cccc2,3555173,1
189,S=C(Nc1cc(ccc1)C(F)(F)F)NNC(=S)NCc1ccccc1,1907744,1
190,O1CCN(CC1)C(Oc1c2cc(OC(=O)N3CCOCC3)ccc2ccc1)=O,649992,1
